contract,maximum_contracts
1 Kier,--1--
pas,-----
6 Pik,-2-42
1 BA,--1--
pas,-----
pas,2----
pas,12-2-
4 Pik,3-122
2 Kier,45545
3 Pik,16666
3 Pik,-1-1-
2 BA,1--2-
1 BA,--1--
2 Trefl,-2---
pas,-4242
7 BA,--5--
pas,-----
2 BA,-4--2
3 Pik,--2--
7 Pik,1-3--
6 BA,-----
4 Trefl,1-441
3 Kier,-----
4 Pik,31---
2 Karo,64326
5 BA,-----
7 Trefl,-----
1 Pik,1--2-
4 BA,414-2
7 Kier,1----
1 Kier,21434
2 Trefl,33233
2 Pik,12142
pas,3-222
7 Pik,1----
5 BA,11---
6 BA,23454
pas,--2-2
7 BA,-11--
1 Pik,35133
pas,12122
pas,24414
pas,-22--
2 Kier,13-2-
7 BA,---1-
7 BA,-----
7 Pik,--2--
1 Pik,311-2
pas,---2-
6 Pik,-323-
1 Pik,-----
pas,3-1--
5 Kier,11-11
1 Pik,-----
7 BA,-----
1 Karo,-2-3-
7 Pik,-----
5 BA,44123
7 Karo,-----
pas,-----
1 Karo,42--2
7 Karo,-----
6 Kier,-----
pas,4-3-2
pas,----1
1 Karo,14243
3 Trefl,44-1-
pas,24343
1 Kier,--652
pas,67646
1 Karo,512-2
1 Trefl,2----
pas,-153-
7 Pik,1----
1 BA,13323
pas,233--
1 Pik,15535
6 Kier,--3--
1 BA,2-21-
pas,-----
pas,-----
pas,-5432
pas,22163
pas,---1-
1 Trefl,-42-1
2 Karo,--3--
pas,3-1-1
pas,--111
pas,-----
1 Kier,-----
1 Kier,12-52
pas,-----
1 BA,2-1-1
2 Karo,22443
pas,-4-4-
pas,22121
1 BA,---31
pas,1-424
5 BA,-5--2
4 Trefl,-2454
1 Trefl,34234
5 Kier,1----
pas,3-3-2
pas,--22-
pas,---21
1 Pik,-35--
pas,12-2-
6 Trefl,-----
1 Pik,-11--
pas,46315
pas,-11--
pas,-13--
pas,-3-2-
pas,-1---
1 Kier,-----
4 Kier,5--4-
1 Pik,--2--
pas,23-3-
pas,12212
1 Kier,4---3
pas,23253
pas,---4-
pas,-----
pas,3-143
1 Trefl,-----
1 Trefl,-2---
pas,---1-
1 BA,2--2-
pas,-7717
pas,1-155
1 BA,1--1-
1 Pik,-14--
1 Pik,--241
1 Pik,-----
1 Pik,3--3-
1 Pik,3-333
2 Karo,12132
pas,124-2
pas,2-244
1 Trefl,-3232
1 Pik,-1---
pas,--2--
1 BA,1---1
1 Karo,34435
1 Kier,23414
1 Trefl,6--66
7 BA,2-4-3
7 Pik,122-2
pas,--2-2
pas,-21--
pas,-2-1-
pas,-----
pas,1----
1 Kier,52455
3 Trefl,--143
1 Pik,45412
pas,1--21
2 Pik,-1-1-
4 Karo,44244
pas,--1--
pas,-----
1 Kier,52525
pas,-1---
1 Kier,---1-
7 BA,54235
1 Pik,1-12-
pas,2----
pas,42243
4 Pik,4---1
pas,3-2--
pas,-33-1
pas,31142
pas,---3-
pas,4--1-
1 Pik,-----
pas,-----
1 Pik,-1---
pas,11423
pas,-4---
pas,-----
1 Kier,-----
2 Pik,2--1-
pas,-12--
pas,-5363
2 Kier,13412
1 Pik,-4-21
pas,1----
pas,-2463
1 Karo,71717
1 Kier,--3--
1 Pik,-2123
7 Pik,3-2--
pas,33233
3 Karo,34524
2 Karo,1----
pas,-1---
pas,-----
1 Trefl,-----
pas,-4221
7 Pik,-3--2
1 Kier,-44--
pas,36335
pas,-----
2 Karo,--4-1
pas,--311
1 BA,-----
1 Pik,2-2--
7 Trefl,76717
pas,37646
2 Karo,1-3--
pas,-1---
7 Pik,43---
1 Karo,--341
5 Trefl,-----
pas,-----
pas,2-331
1 Karo,-1---
pas,4-331
1 Trefl,-3211
1 Trefl,-3---
4 Karo,23-1-
3 Karo,51253
pas,3-3-1
pas,-1---
1 Kier,-----
pas,3-3--
1 Pik,-----
7 BA,--1--
pas,34-21
pas,36524
1 Pik,6-611
pas,-3211
pas,---2-
pas,-5431
pas,-----
pas,-----
2 Trefl,-----
pas,12---
pas,-1---
pas,-----
7 Pik,-----
1 Pik,1-323
1 BA,-----
1 Trefl,44345
pas,-----
pas,21---
1 BA,--43-
3 Pik,43625
pas,22---
pas,313-1
1 Trefl,---11
pas,3--53
1 BA,3--53
1 Karo,3--53
pas,-----
3 Karo,4-564
7 BA,25--2
pas,17477
1 Kier,2-2--
1 Pik,-----
7 BA,-----
7 Karo,344--
1 Pik,1----
3 Kier,77166
1 Pik,-----
pas,-----
7 BA,---2-
6 Karo,3-3--
1 Karo,--1--
pas,22-21
1 Pik,-3--2
pas,77437
3 Kier,45-51
4 BA,24222
1 Karo,--2--
1 Karo,44453
7 Pik,342-1
5 Trefl,--212
pas,--2--
pas,--1--
1 Kier,53254
3 Karo,-1341
pas,-1---
pas,42-44
pas,27477
pas,133-1
pas,1-112
1 Trefl,31--2
pas,5--13
pas,-----
pas,11---
pas,1----
2 Karo,1-3--
1 Trefl,-11--
7 Pik,5-5-2
pas,5-5-2
3 Karo,62222
pas,62222
7 Karo,-----
pas,-----
1 Pik,-4111
pas,-----
pas,1-4-3
6 Pik,41133
pas,22-2-
7 Pik,23244
1 Kier,-5-5-
pas,---1-
pas,-----
pas,2-444
1 BA,-2221
1 Kier,-----
6 Trefl,2-2--
1 Karo,5-3-3
1 BA,1-21-
pas,-----
pas,---1-
1 BA,2----
1 Karo,-----
1 Kier,-----
1 Karo,14232
pas,1----
pas,73577
1 Karo,22534
2 Karo,21111
6 Kier,24422
pas,-321-
1 Kier,-1-11
pas,-22--
2 BA,-223-
pas,34443
pas,-----
pas,2-2--
pas,-2523
1 Karo,22--1
2 Pik,24223
1 Karo,-----
pas,-13--
5 Karo,--554
pas,--554
1 BA,24465
6 Karo,24465
6 Karo,41254
1 Pik,-----
1 Pik,63162
5 Pik,11-1-
pas,25511
pas,61455
1 Kier,21222
5 Karo,---1-
1 Pik,2--22
1 Kier,-----
1 Karo,---2-
1 Pik,1--2-
pas,-----
pas,-3---
7 Kier,1-5-1
pas,55--3
2 BA,---1-
3 Trefl,-----
3 Karo,-2---
pas,-----
2 Kier,--2-2
7 Karo,----1
3 Kier,12---
1 Pik,34123
1 BA,12-1-
pas,-4331
1 BA,---2-
7 BA,3---2
1 Karo,55333
2 Kier,-----
1 Karo,-----
pas,-3221
3 BA,-1---
1 Trefl,1----
pas,2----
pas,-43-2
1 Trefl,3-531
5 BA,12123
2 Trefl,-2--1
1 Karo,-----
3 Karo,---3-
1 Pik,-----
7 Kier,-2---
pas,22---
pas,-----
1 Karo,-42-1
pas,2-2-1
pas,-11--
pas,435-4
1 Pik,-3-1-
pas,63165
1 BA,--2-1
2 Kier,-12--
pas,233--
pas,51543
1 Karo,-2-2-
pas,2-1--
pas,-5-52
pas,---21
1 BA,25224
1 BA,31-2-
1 Kier,-----
4 Trefl,--1-1
1 Kier,-----
5 Kier,15243
7 Trefl,21532
1 Karo,---1-
pas,21--1
6 BA,1----
pas,56---
1 Kier,1-332
7 Kier,2--3-
6 Kier,---1-
1 BA,323--
pas,---3-
3 BA,44626
1 Pik,-11--
1 Karo,-2-1-
pas,--1--
pas,54215
1 Karo,---3-
pas,-----
1 Kier,1----
pas,--1--
4 Kier,23255
1 Karo,-2214
1 Kier,--542
6 Trefl,33224
pas,-1---
4 Pik,-4-3-
pas,41--2
1 BA,-----
1 Kier,23443
6 BA,-----
pas,-1---
1 Trefl,--2--
1 Karo,31442
pas,1-2--
2 Karo,4-4--
pas,3--12
5 Trefl,12322
pas,35626
7 Pik,--2--
pas,-----
7 BA,-----
1 Karo,-1--1
7 Kier,-----
pas,4----
pas,1121-
1 BA,-----
pas,-----
1 Pik,23-2-
pas,-----
7 Pik,---42
1 BA,1-22-
pas,--311
3 Trefl,-1322
3 Pik,6-42-
pas,-----
6 Karo,42-2-
1 Pik,44255
pas,2----
7 Pik,-2132
3 Kier,-----
pas,1----
2 Trefl,--3--
7 BA,-55-4
1 Trefl,-----
6 Pik,24313
pas,-----
pas,-1413
1 BA,--1--
pas,2-4-3
1 Kier,65716
pas,2----
7 BA,---41
1 Pik,---2-
5 Pik,-----
2 BA,-----
