contract,maximum_contracts
pas,--1--
pas,-----
1 Karo,-2-42
pas,--1--
pas,-----
pas,2----
2 Karo,12-2-
1 Trefl,3-122
1 Karo,45545
2 Pik,16666
1 Karo,-1-1-
pas,1--2-
1 Kier,--1--
pas,-2---
2 Karo,-4242
2 Kier,--5--
pas,-----
2 Karo,-4--2
2 Kier,--2--
1 Kier,1-3--
pas,-----
1 Pik,1-441
pas,-----
pas,31---
pas,64326
pas,-----
pas,-----
pas,1--2-
2 Trefl,414-2
pas,1----
pas,21434
1 Karo,33233
2 Pik,12142
pas,3-222
pas,1----
1 Trefl,11---
2 Pik,23454
pas,--2-2
pas,-11--
1 Karo,35133
pas,12122
pas,24414
pas,-22--
1 Trefl,13-2-
1 Pik,---1-
pas,-----
1 Kier,--2--
2 Trefl,311-2
pas,---2-
2 Karo,-323-
pas,-----
2 Trefl,3-1--
pas,11-11
pas,-----
pas,-----
1 Karo,-2-3-
pas,-----
pas,44123
pas,-----
pas,-----
1 Trefl,42--2
pas,-----
pas,-----
2 Trefl,4-3-2
1 Karo,----1
1 Karo,14243
pas,44-1-
2 Karo,24343
1 Kier,--652
2 Kier,67646
2 Trefl,512-2
pas,2----
3 Kier,-153-
2 Trefl,1----
pas,13323
1 Karo,233--
2 Karo,15535
1 Kier,--3--
pas,2-21-
1 Karo,-----
pas,-----
1 Pik,-5432
3 Pik,22163
1 Karo,---1-
2 Karo,-42-1
1 Karo,--3--
1 Trefl,3-1-1
1 Pik,--111
1 Pik,-----
pas,-----
1 Pik,12-52
pas,-----
1 Kier,2-1-1
2 Pik,22443
2 Karo,-4-4-
1 Karo,22121
1 Pik,---31
pas,1-424
1 Karo,-5--2
2 Pik,-2454
pas,34234
2 Trefl,1----
1 Kier,3-3-2
1 Pik,--22-
2 Pik,---21
1 Karo,-35--
1 Pik,12-2-
pas,-----
pas,-11--
2 Trefl,46315
1 Kier,-11--
1 Karo,-13--
1 Karo,-3-2-
pas,-1---
pas,-----
2 Trefl,5--4-
1 Kier,--2--
1 Karo,23-3-
pas,12212
1 Trefl,4---3
2 Karo,23253
1 Pik,---4-
1 Kier,-----
pas,3-143
2 Karo,-----
pas,-2---
1 Trefl,---1-
1 Pik,2--2-
2 Kier,-7717
3 Pik,1-155
pas,1--1-
1 Trefl,-14--
1 Pik,--241
1 Pik,-----
2 Pik,3--3-
1 Pik,3-333
1 Pik,12132
1 Kier,124-2
1 Pik,2-244
1 Karo,-3232
2 Karo,-1---
pas,--2--
1 Trefl,1---1
1 Kier,34435
3 Kier,23414
3 Trefl,6--66
