deal,maximum_contracts
"S965HQ86DAJT962CK,SAT3HAJ752D3CJT64,SKQ872HT94DK5CA83",-2-21
"S963HAT32DJ85CA62,SQT874H654DQ932CT,SAJ5HK98D64CKJ875",1-1--
"SAJ764H87D7632CT7,SKQHAQ954DQT5CK82,S5HKJ3D84CAQJ9643",3---1
"SAKQ86HT73DAK86CJ,S954H98652D4CQ965,SJT3HAJDQJT95CK83",-6-65
"S53HJ65D953CA9543,SJT976HKT97DQJ8CK,SAK2H32DAK62CJT62",32--2
"SAJ876HKJ85D85C98,S95HQT93DQ6CQ6542,S43HA76DAK732CKJ7",12232
"S4HK86DK8CKQJT543,SA9H732DJ95432C62,SQT32H54DAQ76CA97",51--3
"SKT7HKQ83D874CKQ4,S3H4DKQT6532C9832,S98642H65DAJCAJT5",2-132
"SQ9632H76DKCT9874,S4HKQTDAQJT653C52,SAK87H832D9842CAJ",2-132
"ST93HA86D7652C982,SK62H3DKQ8CAQT653,SQJ875HQDT943CKJ7",-----
"S9862HK73DA2CK872,S4HAJ9854DQ974CJT,SQJT53HT62DKT6CQ3",---1-
"SKT75HA43DKT62CT4,S64HKQ976DA85CK96,SA8H852DQJ974CA72",-3--2
"SHQ7543D97CJ98643,S8653HK2DAQJ64CA7,SAKJHA98DT82CKQT5",3-2--
"ST976H4DKJ764CJ82,SJ3HJT62D952CQT76,SAKQ8542HA8DT8CK5",-3-52
"SAK43HK75DAQT2CT2,SQT9HT9864D853CK3,S865HAJDKJ76CQ654",14-33
"SA64H2DQ953C97543,SKQJ832H96DA84C82,ST97HKJT4DT72CKJ6",-----
"S942HJTDK652CQJ85,SJT3H85D843CK9764,SK876HK976432D9CA",--1--
"SJ752HJ983D7432CK,SAKT93HK5DK5CQ654,SQHAT6DAJ6CAT9732",1-1--
"S742HAT62DK9CT654,SKQ5HKJDJ854CQ932,SATHQ94DAT7632CA8",-33-2
"S9765HKJ6DT53CQ65,SAQJ8HQ75DQ72C932,S42HA432DKJ4CAJT8",1-1--
"SQJ92HJ5DQ7CAJT75,S73HAQT4DA92CQ942,ST5HK73DKJ8643CK6",22--1
"SJT5H763D853CK975,S732HQJ84D6CQJT42,SK4HAT92DQ942CA63",-----
"SKJ985HT2D965C532,ST64HAKJ9DAT3CKQ6,S73H765DKJ874CAJ9",-----
"SJT9HA4DJ96CAJT74,SK543HT873D752CK9,SQ86HQ65DAT43C865",1----
"S43HJ98652DA3CQJT,SKQ82HKDQ62CK8653,S65HAT7DJ975CA942",--3--
"SJT9HJ864DQJT4CA3,SAKQHQTD98532C874,S754HA952DACKQT65",21211
"SQT3HAKJ2DQ843CQ9,SA9HT8654DJT52C87,SK842H97DA7CAKT64",54355
"S5HQ653DK862CKQT7,SJT7HKDAJT953CA98,S642HA842DQ7CJ542",--1--
"SAKQ7H4D43CAQ9542,ST53H52DAJ975CJ83,SJ86HAKQJ73DQ82C7",41554
"S9832HAKDAKJ52CJ5,S7H98765DQ864C832,SKJHQJD973CKT9764",22---
"SK4HKQ32D965CQT42,SAQ82HJT6DKQ2C985,SJT9653HA754DT8C3",--11-
"S84HAK6DAJT63CKT5,SAKQ65HQ84D7CAJ42,S9732HJDQ982C9873",-2---
"SK6HJ543DJ7C76543,SA73H2DAK9853CKJ9,ST94HAKQ87DQCAQT8",4-4--
"SK43HQT5DQ85CQ976,ST76H432DAK43C432,SAJ985HK8DJT72CA5",23-33
"SJ6543H763DA94C96,SA7HAK54D8632CT85,S8HT98DQT75CJ7432",-----
"SAQT9HK963DA6CA65,SK854H42DQ72CK732,S76HAQ85DJT843CQT",24544
"SJ974HAJT76DT6C53,S62HK9842DQ7543C8,SKQHQ53DA2CAKQJ74",4-322
"SQ753H82DKJT8CQ54,SKJT4H975DQ4CJ732,SA82HKJ3D962CAK96",-----
"S9752HAQD9CQ87642,SQ84HK96DK854CT53,SAK3H54DQJT63CAK9",42-43
"S753HAQTDKJCAT742,SKT842HK852D8653C,SAH9763DAT972CKJ9",555-5
"S763HKDKJT9CAT852,SQTHAT98732DAQC64,S9852HQ64D754CK93",-----
"SKQ7H87652D8CAT63,SAT93HQJ9DA3CKJ75,S8652HA3DKQT65C98",-----
"SQ7H76D652CAQT853,SAJ5HAQ843DAK984C,ST964HT52DQJ73CKJ",-----
"SAKT64H84D9432CT6,SQJ52H7DAQJCQ8753,S73HKJ963DT86CA42",-----
"SA85H964D54CKJ765,SQJ932H32DK76C832,SK764HKQJDAQ92C94",31224
"SK65HJ94DKQ54C874,S32HAQ7532DA97CT6,SAJ8HK8DJ632CAK92",23-11
"S87HQT7DAQJT84CT3,SA65HJ94D65CA9765,SQT93HA32DK9CK842",-3--2
"SAKTHT97DKQ7643CA,S96HJ652DT9CT9742,S7542H84DAJ52CQJ5",-5-33
"SAK94HT76DAT8CT94,SQJHKJ3DJ7653CKQ7,ST872HQ94D92CAJ83",2-13-
"SJ765HT9DAJCKJT32,SAK2HKQ8652D2CQ76,SQT843H74DT9864C9",---1-
"ST643H95DK6543C83,SAKJ52HKJ82D72CQ5,S8HT63DAQTCAKJ642",43---
"SKQ4HJT86DJT87CAQ,SAJ985HADKQ632CT8,ST63HKQ542DA4C753",-13-2
"SKHKJT72DKJ6CKT76,SJ8HA843DA9CQ8543,SAT964HQDQT72CJ92",221-3
"SAQ72HAT53DA85C85,SJT843HJ4DJ32CA92,S965HK87DKT6CQJ76",11222
"SAQT7HQJ76DA976CK,SK96532H83DT4CQ82,SJ8HA9D852CAJT643",32122
